game_date,game_number,season,home_team,away_team,home_score,away_score,home_win,D/N,Attendance,Streak,Win,Loss,Save,Inn
2015-04-05,1,2015,CHC,STL,0.0,3.0,0,N,35055.0,-1,Wainwright,Lester,Rosenthal,9.0
2015-04-06,1,2015,ARI,SFG,4.0,5.0,0,N,49043.0,-1,Bumgarner,Collmenter,Casilla,9.0
2015-04-06,1,2015,CIN,PIT,5.0,2.0,1,D,43633.0,1,Díaz,Watson,Chapman,9.0
2015-04-06,1,2015,DET,MIN,4.0,0.0,1,D,45030.0,1,Price,Hughes,Nathan,9.0
2015-04-06,1,2015,HOU,CLE,2.0,0.0,1,N,43753.0,1,Keuchel,Kluber,Gregerson,9.0
2015-04-06,1,2015,KCR,CHW,10.0,1.0,1,D,40085.0,1,Ventura,Samardzija,,9.0
2015-04-06,1,2015,LAD,SDP,6.0,3.0,1,D,53518.0,1,Peralta,Kelley,Hatcher,9.0
2015-04-06,1,2015,MIA,ATL,1.0,2.0,0,D,36969.0,-1,Teheran,Álvarez,Grilli,9.0
2015-04-06,1,2015,MIL,COL,0.0,10.0,0,D,46032.0,-1,Kendrick,Lohse,,9.0
2015-04-06,1,2015,NYY,TOR,1.0,6.0,0,D,48469.0,-1,Hutchison,Tanaka,,9.0
2015-04-06,1,2015,OAK,TEX,8.0,0.0,1,N,36067.0,1,Gray,Gallardo,,9.0
2015-04-06,1,2015,PHI,BOS,0.0,8.0,0,D,45549.0,-1,Buchholz,Hamels,,9.0
2015-04-06,1,2015,SEA,LAA,4.0,1.0,1,D,45909.0,1,Hernández,Weaver,Rodney,9.0
2015-04-06,1,2015,TBR,BAL,2.0,6.0,0,D,31042.0,-1,Tillman,Archer,,9.0
2015-04-06,1,2015,WSN,NYM,1.0,3.0,0,D,42295.0,-1,Colón,Scherzer,Carlyle,9.0
2015-04-07,1,2015,ARI,SFG,7.0,6.0,1,N,22626.0,1,De La Rosa,Vogelsong,Reed,9.0
2015-04-07,1,2015,LAD,SDP,3.0,7.0,0,N,40356.0,-1,Benoit,Hatcher,,9.0
2015-04-07,1,2015,MIA,ATL,2.0,12.0,0,N,17483.0,-2,Wood,Latos,,9.0
2015-04-07,1,2015,MIL,COL,2.0,5.0,0,N,30222.0,-2,Lyles,Garza,Hawkins,9.0
2015-04-07,1,2015,OAK,TEX,1.0,3.0,0,N,15025.0,-1,Lewis,Hahn,Feliz,9.0
2015-04-07,1,2015,SEA,LAA,0.0,2.0,0,N,26545.0,-1,Wilson,Paxton,Street,9.0
2015-04-07,1,2015,TBR,BAL,5.0,6.0,0,N,13906.0,-2,Gausman,Karns,Britton,9.0
2015-04-08,1,2015,ARI,SFG,2.0,5.0,0,N,21642.0,-1,Heston,Hellickson,Casilla,9.0
2015-04-08,1,2015,CHC,STL,2.0,0.0,1,D,26814.0,1,Arrieta,Lynn,Rondón,9.0
2015-04-08,1,2015,CIN,PIT,5.0,4.0,1,N,30859.0,2,Hoover,Liz,,11.0
2015-04-08,1,2015,DET,MIN,11.0,0.0,1,D,28280.0,2,Sánchez,Nolasco,,9.0
2015-04-08,1,2015,HOU,CLE,0.0,2.0,0,N,23078.0,-1,Carrasco,Feldman,Allen,9.0
2015-04-08,1,2015,KCR,CHW,7.0,5.0,1,N,23385.0,2,Davis,Putnam,Holland,9.0
2015-04-08,1,2015,LAD,SDP,7.0,4.0,1,N,52204.0,1,McCarthy,Cashner,Peralta,9.0
2015-04-08,1,2015,MIA,ATL,0.0,2.0,0,N,16127.0,-3,Cunniff,Koehler,Grilli,9.0
2015-04-08,1,2015,MIL,COL,4.0,5.0,0,N,28720.0,-3,Hawkins,Rodríguez,Axford,10.0
2015-04-08,1,2015,NYY,TOR,4.0,3.0,1,N,31020.0,1,Betances,Loup,Miller,9.0
2015-04-08,1,2015,OAK,TEX,10.0,0.0,1,N,19479.0,1,Kazmir,Detwiler,,9.0
2015-04-08,1,2015,PHI,BOS,4.0,2.0,1,N,26465.0,1,Harang,Porcello,Papelbon,9.0
2015-04-08,1,2015,SEA,LAA,3.0,5.0,0,N,25495.0,-2,Shoemaker,Iwakuma,Street,9.0
2015-04-08,1,2015,TBR,BAL,2.0,0.0,1,N,13569.0,1,Odorizzi,González,Boxberger,9.0
2015-04-08,1,2015,WSN,NYM,2.0,1.0,1,N,25999.0,1,Zimmermann,deGrom,Storen,9.0
2015-04-09,1,2015,CIN,PIT,3.0,2.0,1,D,15616.0,3,Chapman,Scahill,,9.0
2015-04-09,1,2015,DET,MIN,7.0,1.0,1,D,26782.0,3,Greene,Gibson,,9.0
2015-04-09,1,2015,HOU,CLE,1.0,5.0,0,D,22593.0,-2,Bauer,Wojciechowski,,9.0
2015-04-09,1,2015,KCR,CHW,4.0,1.0,1,D,20236.0,3,Vólquez,Danks,Holland,9.0
2015-04-09,1,2015,NYY,TOR,3.0,6.0,0,N,32152.0,-1,Norris,Sabathia,Castro,9.0
2015-04-09,1,2015,OAK,TEX,1.0,10.0,0,D,16045.0,-1,Martinez,Graveman,,9.0
2015-04-09,1,2015,PHI,BOS,2.0,6.0,0,N,23418.0,-1,Masterson,Buchanan,,9.0
2015-04-09,1,2015,SDP,SFG,0.0,1.0,0,D,45159.0,-2,Kontos,Vincent,Casilla,12.0
2015-04-09,1,2015,WSN,NYM,3.0,6.0,0,D,25327.0,-1,Harvey,Strasburg,,9.0
2015-04-10,1,2015,ARI,LAD,4.0,3.0,1,N,27404.0,1,Pérez,Howell,,10.0
2015-04-10,1,2015,ATL,NYM,5.0,3.0,1,N,46279.0,4,Johnson,Montero,Grilli,9.0
2015-04-10,1,2015,BAL,TOR,5.0,12.0,0,D,45936.0,-2,Buehrle,Norris,,9.0
2015-04-10,1,2015,CHW,MIN,0.0,6.0,0,D,38533.0,-4,Milone,Noesí,Duensing,9.0
2015-04-10,1,2015,CIN,STL,5.0,4.0,1,N,30808.0,4,Hoover,Walden,Chapman,9.0
2015-04-10,1,2015,CLE,DET,4.0,8.0,0,D,35789.0,-1,Simón,McAllister,Soria,9.0
2015-04-10,1,2015,COL,CHC,5.0,1.0,1,D,49303.0,4,Bergman,Wood,,9.0
2015-04-10,1,2015,LAA,KCR,2.0,4.0,0,N,44489.0,-1,Vargas,Santiago,Davis,9.0
2015-04-10,1,2015,MIA,TBR,10.0,9.0,1,N,17375.0,1,Morris,Boxberger,,10.0
2015-04-10,1,2015,MIL,PIT,2.0,6.0,0,N,27373.0,-4,Locke,Fiers,,9.0
2015-04-10,1,2015,NYY,BOS,5.0,6.0,0,N,41292.0,-2,Wright,Rogers,,19.0
2015-04-10,1,2015,OAK,SEA,12.0,0.0,1,N,30114.0,1,Pomeranz,Walker,,9.0
2015-04-10,1,2015,PHI,WSN,4.0,1.0,1,N,19047.0,1,Garcia,Gonzalez,Papelbon,9.0
2015-04-10,1,2015,SDP,SFG,1.0,0.0,1,N,40015.0,1,Benoit,Affeldt,Kimbrel,9.0
2015-04-10,1,2015,TEX,HOU,1.0,5.0,0,D,48885.0,-1,McHugh,Holland,,9.0
2015-04-11,1,2015,ARI,LAD,6.0,0.0,1,N,37636.0,2,Bradley,Kershaw,,9.0
2015-04-11,1,2015,ATL,NYM,5.0,3.0,1,N,36056.0,5,Teheran,Gee,Johnson,9.0
2015-04-11,1,2015,BAL,TOR,7.0,1.0,1,N,38897.0,1,Jiménez,Sanchez,,9.0
2015-04-11,1,2015,CHW,MIN,5.0,4.0,1,D,22317.0,1,Duke,Boyer,Robertson,9.0
2015-04-11,1,2015,CIN,STL,1.0,4.0,0,D,41525.0,-1,Wacha,Cueto,Rosenthal,9.0
2015-04-11,1,2015,CLE,DET,6.0,9.0,0,D,23161.0,-2,Krol,Allen,,9.0
2015-04-11,1,2015,COL,CHC,5.0,9.0,0,N,43812.0,-1,Hammel,Kendrick,,9.0
2015-04-11,1,2015,LAA,KCR,4.0,6.0,0,N,44154.0,-2,Guthrie,Weaver,Holland,9.0
2015-04-11,1,2015,MIA,TBR,0.0,2.0,0,D,17830.0,-1,Archer,Cosart,Boxberger,9.0
2015-04-11,1,2015,MIL,PIT,6.0,0.0,1,N,41108.0,1,Nelson,Worley,,9.0
2015-04-11,1,2015,NYY,BOS,4.0,8.0,0,D,46678.0,-3,Kelly,Warren,,9.0
2015-04-11,1,2015,OAK,SEA,4.0,5.0,0,D,24355.0,-1,Olson,Abad,Rodney,11.0
2015-04-11,1,2015,PHI,WSN,3.0,2.0,1,N,23740.0,2,McGowan,Roark,,10.0
2015-04-11,1,2015,SDP,SFG,10.0,2.0,1,N,42823.0,2,Shields,Bumgarner,,9.0
2015-04-11,1,2015,TEX,HOU,6.0,2.0,1,N,36833.0,1,Gallardo,Hernández,,9.0
2015-04-12,1,2015,ARI,LAD,4.0,7.0,0,D,29678.0,-1,Greinke,Collmenter,Peralta,9.0
2015-04-12,1,2015,ATL,NYM,3.0,4.0,0,D,28192.0,-1,Colón,Jaime,Familia,9.0
2015-04-12,1,2015,BAL,TOR,7.0,10.0,0,D,32522.0,-1,Loup,Tillman,Castro,9.0
2015-04-12,1,2015,CHW,MIN,6.0,2.0,1,D,23057.0,2,Sale,Hughes,,9.0
2015-04-12,1,2015,CIN,STL,5.0,7.0,0,D,41446.0,-2,Villanueva,Gregg,,11.0
2015-04-12,1,2015,CLE,DET,5.0,8.0,0,D,19555.0,-3,Lobstein,House,Soria,9.0
2015-04-12,1,2015,COL,CHC,5.0,6.0,0,D,41363.0,-2,Ramírez,Hawkins,Rondón,9.0
2015-04-12,1,2015,LAA,KCR,2.0,9.0,0,D,37060.0,-3,Ventura,Wilson,,9.0
2015-04-12,1,2015,MIA,TBR,5.0,8.0,0,D,20199.0,-2,Karns,Álvarez,Frieri,9.0
2015-04-12,1,2015,MIL,PIT,2.0,10.0,0,D,39017.0,-1,Sadler,Lohse,,9.0
2015-04-12,1,2015,NYY,BOS,14.0,4.0,1,N,43019.0,1,Tanaka,Buchholz,,9.0
2015-04-12,1,2015,OAK,SEA,7.0,8.0,0,D,32282.0,-2,Rodney,Clippard,Medina,10.0
2015-04-12,1,2015,PHI,WSN,3.0,4.0,0,D,30094.0,-1,Barrett,Diekman,Storen,10.0
2015-04-12,1,2015,SDP,SFG,6.0,4.0,1,D,40184.0,3,Ross,Peavy,Kimbrel,9.0
2015-04-12,1,2015,TEX,HOU,4.0,6.0,0,D,35276.0,-1,Harris,Verrett,Deduno,14.0
2015-04-13,1,2015,ATL,MIA,3.0,2.0,1,N,13417.0,1,Miller,Latos,Grilli,9.0
2015-04-13,1,2015,BAL,NYY,5.0,6.0,0,N,21633.0,-2,Pineda,Hunter,Miller,9.0
