mlb_id,player_name,role,team,age,war,war_off,war_def,pa,games,ops_plus,runs_bat,runs_field,games_started,ip,era_plus
457705,Andrew McCutchen,hitter,TEX,39.0,-0.39,-0.4,-0.26,83.0,37,58.456,-3.4,1.0,,,
467793,Carlos Santana,hitter,ARI,40.0,-0.49,-0.39,-0.14,26.0,8,-21.018,-3.99,-2.0,,,
500743,Miguel Rojas,hitter,LAD,37.0,0.74,0.76,0.24,243.0,101,94.293,-2.19,2.0,,,
502054,Tommy Pham,hitter,CHW,38.0,-0.26,-0.15,-0.16,26.0,14,42.01,-1.98,-1.0,,,
502671,Paul Goldschmidt,hitter,NYY,38.0,1.43,1.1,-0.16,370.0,102,112.669,3.92,2.0,,,
506702,Sandy León,hitter,ATL,37.0,-0.56,-0.67,0.2,44.0,21,-49.539,-8.83,-1.0,,,
514888,Jose Altuve,hitter,HOU,36.0,0.32,1.94,-1.26,545.0,129,100.602,0.4,-17.0,,,
516782,Starling Marte,hitter,KCR,37.0,-0.62,-0.41,-0.51,168.0,59,74.41,-5.69,-1.0,,,
518595,Travis d'Arnaud,hitter,LAA,37.0,0.25,-0.07,0.49,80.0,31,44.948,-4.34,2.0,,,
518692,Freddie Freeman,hitter,LAD,36.0,2.71,2.66,-0.63,637.0,148,121.301,15.44,-1.0,,,
519317,Giancarlo Stanton,hitter,NYY,36.0,0.15,0.14,-0.21,96.0,24,99.973,0.28,0.0,,,
521692,Salvador Perez,hitter,KCR,36.0,-0.61,-0.54,-0.54,604.0,146,81.159,-14.86,0.0,,,
542303,Marcell Ozuna,hitter,PIT,35.0,-1.09,-1.07,-0.6,280.0,70,65.875,-11.34,0.0,,,
543309,Kyle Higashioka,hitter,TEX,36.0,0.65,0.75,0.19,186.0,56,96.636,0.86,-1.0,,,
543510,James McCann,hitter,ARI,36.0,0.26,0.68,-0.17,152.0,47,104.161,0.84,0.0,,,
543760,Marcus Semien,hitter,NYM,35.0,0.32,0.67,0.11,527.0,134,74.967,-12.85,0.0,,,
543807,George Springer,hitter,TOR,36.0,0.72,0.8,-1.11,506.0,123,100.827,1.69,0.0,,,
543877,Christian Vázquez,hitter,HOU,35.0,0.43,0.1,0.84,262.0,85,65.881,-11.25,-1.0,,,
545121,Ildemaro Vargas,hitter,ARI,34.0,1.18,0.59,0.34,477.0,136,86.686,-8.08,1.0,,,
545341,Randal Grichuk,hitter,CHW,34.0,1.11,0.99,-0.52,262.0,112,134.56,8.76,0.0,,,
545361,Mike Trout,hitter,LAA,34.0,3.89,4.68,-0.68,610.0,137,130.687,24.47,-7.0,,,
547180,Bryce Harper,hitter,PHI,33.0,3.26,3.52,-1.01,667.0,156,132.163,25.16,-4.0,,,
553869,Elias Díaz,hitter,TEX,35.0,1.12,0.8,0.73,230.0,84,90.8,-2.82,1.0,,,
553993,Eugenio Suárez,hitter,CIN,34.0,0.33,0.78,-0.93,478.0,120,100.944,0.33,-4.0,,,
571448,Nolan Arenado,hitter,ARI,35.0,2.62,2.97,-0.03,572.0,146,113.209,8.93,-3.0,,,
571657,Kyle Farmer,hitter,ATL,35.0,-0.11,-0.11,-0.02,17.0,13,49.538,-1.29,0.0,,,
571771,Enrique Hernández,hitter,LAD,34.0,-0.04,-0.13,0.05,87.0,38,79.329,-2.71,1.0,,,
571912,Luke Maile,hitter,KCR,35.0,-0.2,-0.1,-0.01,45.0,16,52.15,-2.65,0.0,,,
571970,Max Muncy,hitter,LAD,35.0,4.27,4.02,0.62,543.0,144,131.608,18.93,4.0,,,
572233,Christian Walker,hitter,HOU,35.0,1.69,1.24,-0.29,608.0,150,97.946,0.31,1.0,,,
573262,Mike Yastrzemski,hitter,ATL,35.0,1.02,0.64,-0.12,390.0,133,93.319,-3.09,3.0,,,
575929,Willson Contreras,hitter,BOS,34.0,4.58,4.56,-0.59,533.0,129,153.711,35.5,-1.0,,,
592206,Nick Castellanos,hitter,SDP,34.0,-0.95,-0.43,-0.69,122.0,39,55.072,-6.46,-4.0,,,
592450,Aaron Judge,hitter,NYY,34.0,1.89,1.78,-0.14,285.0,66,140.285,13.18,-1.0,,,
592518,Manny Machado,hitter,SDP,33.0,1.52,1.9,-0.12,653.0,152,98.778,0.74,0.0,,,
592626,Joc Pederson,hitter,TEX,34.0,1.72,1.91,-1.34,432.0,136,134.716,16.38,-2.0,,,
592663,J.T. Realmuto,hitter,PHI,35.0,0.3,0.43,0.72,446.0,117,68.58,-18.81,0.0,,,
592885,Christian Yelich,hitter,MIL,34.0,0.02,0.05,-0.97,482.0,113,90.537,-8.69,0.0,,,
593428,Xander Bogaerts,hitter,SDP,33.0,2.12,2.57,0.42,589.0,148,88.739,-5.03,-6.0,,,
593871,Jorge Polanco,hitter,NYM,32.0,-1.39,-1.38,-0.32,145.0,37,20.76,-14.25,0.0,,,
595879,Javier Báez,hitter,DET,33.0,-0.58,0.13,-0.48,188.0,56,76.331,-6.5,-6.0,,,
595978,Austin Hedges,hitter,CLE,33.0,0.82,1.02,0.3,236.0,75,97.378,0.31,1.0,,,
596019,Francisco Lindor,hitter,NYM,32.0,1.79,2.02,0.38,440.0,99,103.719,3.02,-3.0,,,
596103,Austin Slater,hitter,TBR,33.0,-0.14,-0.03,-0.18,74.0,28,66.967,-2.55,-2.0,,,
596115,Trevor Story,hitter,BOS,33.0,0.41,0.81,-0.05,252.0,60,81.156,-4.94,-4.0,,,
596117,Garrett Stubbs,hitter,PHI,33.0,-0.5,-0.6,0.18,63.0,34,-0.836,-8.47,0.0,,,
596142,Gary Sánchez,hitter,MIL,33.0,0.45,0.99,-0.46,264.0,83,112.702,3.76,-1.0,,,
596146,Max Kepler,hitter,ARI,33.0,-0.67,-0.56,-0.26,145.0,41,56.835,-8.78,2.0,,,
600869,Jeimer Candelario,hitter,LAA,32.0,-0.15,-0.15,-0.01,20.0,7,21.686,-1.86,0.0,,,
602104,Ramón Urías,hitter,STL,32.0,0.25,0.05,0.28,100.0,43,66.924,-3.19,2.0,,,
605137,Josh Bell,hitter,MIN,33.0,0.82,0.68,-1.07,610.0,149,107.067,3.94,2.0,,,
605141,Mookie Betts,hitter,LAD,33.0,3.56,2.89,1.41,502.0,117,111.932,7.61,9.0,,,
605170,Victor Caratini,hitter,MIN,32.0,0.12,0.3,0.18,375.0,104,78.766,-8.69,0.0,,,
605244,Aramis Garcia,hitter,ARI,33.0,-0.21,-0.11,-0.06,19.0,8,27.455,-1.9,0.0,,,
605353,Vimael Machín,hitter,COL,32.0,0.04,0.04,0.0,6.0,3,163.754,0.55,0.0,,,
606115,Orlando Arcia,hitter,MIN,31.0,0.0,0.0,0.06,50.0,19,83.848,-1.22,0.0,,,
606192,Teoscar Hernández,hitter,LAD,33.0,0.78,1.42,-1.07,469.0,119,107.408,3.7,-4.0,,,
606466,Ketel Marte,hitter,ARI,32.0,2.21,2.06,0.35,597.0,135,106.44,0.04,0.0,,,
606992,Eric Haase,hitter,SFG,33.0,-0.06,0.05,0.04,84.0,29,66.464,-3.89,-1.0,,,
607043,Brandon Nimmo,hitter,TEX,33.0,1.35,2.06,-1.24,631.0,149,112.407,7.55,-5.0,,,
607208,Trea Turner,hitter,PHI,33.0,-0.14,1.55,-0.75,673.0,151,80.968,-17.39,-12.0,,,
608070,José Ramírez,hitter,CLE,33.0,2.54,2.41,0.18,520.0,120,98.561,-0.5,0.0,,,
608324,Alex Bregman,hitter,CHC,32.0,5.39,3.9,1.86,693.0,153,119.859,17.83,13.0,,,
608348,Carson Kelly,hitter,CHC,31.0,2.0,2.03,0.64,413.0,116,101.159,2.5,0.0,,,
608369,Corey Seager,hitter,TEX,32.0,3.04,2.5,1.07,411.0,96,116.206,7.62,7.0,,,
608701,Rob Refsnyder,hitter,SEA,35.0,-0.97,-1.09,-0.24,129.0,53,34.686,-10.67,0.0,,,
608841,Joey Meneses,hitter,OAK,34.0,-0.58,-0.28,-0.35,25.0,9,24.085,-2.09,-2.0,,,
609280,Miguel Andujar,hitter,SDP,31.0,-0.22,-0.2,-0.57,254.0,74,101.893,-0.69,0.0,,,
620443,Luis Torrens,hitter,NYM,30.0,2.18,1.37,1.34,270.0,88,98.06,-1.68,0.0,,,
621020,Dansby Swanson,hitter,CHC,32.0,3.26,2.77,1.2,466.0,121,95.039,0.01,4.0,,,
621043,Carlos Correa,hitter,HOU,31.0,1.31,1.0,0.51,141.0,32,124.539,4.32,2.0,,,
621438,Tyrone Taylor,hitter,CHC,32.0,1.58,1.08,0.28,234.0,95,124.662,5.62,2.0,,,
621439,Byron Buxton,hitter,MIN,32.0,3.37,3.05,0.4,408.0,93,129.181,12.13,3.0,,,
621493,Taylor Ward,hitter,SEA,32.0,1.75,1.3,-0.18,604.0,140,93.969,0.83,2.0,,,
621550,Patrick Wisdom,hitter,SEA,34.0,-0.71,-0.51,-0.22,50.0,19,1.78,-6.39,-2.0,,,
