team,games,wins,losses,runs,runs_allowed,runs_per_game,runs_allowed_per_game,run_diff,avg,obp,slg,ops,home_runs,stolen_bases,k_percent,bb_percent,era,whip,k_per_9,bb_per_9,hr_allowed,hitter_war,offense_runs_above_avg,ops_plus,pitcher_war,total_war
TBR,155,95,60,707,624,4.561,4.026,83,0.259,0.328,0.404,0.732,164,159,18.576,8.475,3.7,1.13,8.2,2.5,192,25.55,19.4,104.22,13.48,39.03
MIL,156,98,58,802,600,5.141,3.846,202,0.258,0.341,0.403,0.744,149,156,21.771,10.663,3.54,1.19,9.64,3.23,165,28.71,48.3,105.4,19.4,48.11
LAD,156,96,60,780,587,5.0,3.763,193,0.257,0.339,0.426,0.765,197,69,20.308,10.145,3.62,1.15,9.45,3.07,171,27.81,69.6,109.4,21.15,48.96
PIT,156,79,77,748,719,4.795,4.609,29,0.254,0.332,0.406,0.738,181,128,24.032,9.119,4.19,1.3,9.24,3.64,150,16.1,-7.2,99.03,18.98,35.08
COL,156,57,99,727,904,4.66,5.795,-177,0.254,0.323,0.416,0.739,170,108,22.803,8.217,5.57,1.53,7.04,3.41,215,6.48,-72.0,92.1,8.69,15.17
CHC,156,87,69,835,683,5.353,4.378,152,0.252,0.34,0.432,0.772,217,108,21.047,10.638,4.16,1.26,7.84,3.1,228,36.35,104.8,111.57,6.15,42.5
MIA,156,76,80,692,695,4.436,4.455,-3,0.249,0.327,0.4,0.727,161,159,21.966,9.102,4.16,1.29,8.3,3.55,167,19.92,46.5,105.38,10.24,30.16
TOR,157,77,80,632,675,4.025,4.299,-43,0.248,0.31,0.382,0.692,149,75,19.025,7.569,3.92,1.3,8.82,3.75,163,13.11,-88.6,90.17,16.71,29.82
ATL,156,92,64,722,602,4.628,3.859,120,0.248,0.311,0.411,0.722,198,80,21.708,7.716,3.61,1.25,8.47,3.35,173,21.36,-15.1,97.19,21.66,43.02
SFG,157,65,92,661,742,4.21,4.726,-81,0.247,0.308,0.405,0.713,178,82,21.828,7.423,4.37,1.36,7.59,3.78,153,16.48,-18.5,100.0,4.46,20.94
WSN,157,73,84,800,795,5.096,5.064,5,0.247,0.322,0.424,0.746,204,171,21.777,9.003,4.69,1.39,7.98,3.76,210,22.8,34.8,103.6,5.28,28.08
BOS,156,84,72,678,598,4.346,3.833,80,0.246,0.32,0.401,0.721,161,103,21.531,8.419,3.59,1.24,8.78,2.94,150,29.04,33.1,103.04,17.32,46.36
KCR,156,67,89,656,758,4.205,4.859,-102,0.245,0.315,0.398,0.713,162,127,20.991,8.488,4.66,1.39,7.42,3.62,196,21.84,12.4,101.16,4.82,26.66
MIN,157,73,84,714,781,4.548,4.975,-67,0.244,0.316,0.402,0.718,182,88,21.228,8.293,4.6,1.37,8.66,3.68,181,15.77,0.7,100.96,9.9,25.67
OAK,156,61,95,670,893,4.295,5.724,-223,0.244,0.316,0.4,0.716,188,88,22.529,8.51,5.44,1.5,8.5,3.98,231,14.11,-25.2,97.32,5.05,19.16
ARI,156,82,74,693,694,4.442,4.449,-1,0.244,0.316,0.398,0.714,157,101,19.566,8.792,4.11,1.28,7.08,3.02,178,20.15,-20.6,97.14,12.41,32.56
SDP,156,87,69,690,649,4.423,4.16,41,0.244,0.319,0.4,0.719,179,157,21.52,9.177,3.94,1.29,8.24,3.44,174,18.8,3.4,101.14,14.53,33.33
TEX,156,78,78,653,687,4.186,4.404,-34,0.243,0.319,0.398,0.717,176,76,22.858,8.825,4.28,1.3,8.54,3.13,184,22.64,47.3,107.81,7.91,30.55
STL,156,76,80,704,727,4.513,4.66,-23,0.242,0.315,0.382,0.697,161,97,20.785,8.354,4.29,1.36,7.98,3.51,155,19.9,20.4,98.98,6.15,26.05
PHI,156,86,70,697,668,4.468,4.282,29,0.241,0.312,0.397,0.709,179,102,21.881,8.636,4.0,1.29,9.82,3.04,184,5.55,-87.5,89.28,29.42,34.97
DET,157,74,83,706,631,4.497,4.019,75,0.241,0.319,0.401,0.72,176,55,22.759,9.398,3.65,1.22,8.19,3.21,160,18.46,5.3,100.72,16.9,35.36
HOU,156,77,79,688,747,4.41,4.788,-59,0.24,0.313,0.41,0.723,209,46,21.851,8.556,4.53,1.34,8.84,4.07,201,20.17,23.6,105.08,9.3,29.47
