,mean_abs_shap
home_elo_pre,0.18842022052312754
away_elo_pre,0.15344164431712848
away_run_diff_last30,0.048657977569192
home_runs_scored_last30,0.04143541842121522
away_run_diff_last10,0.036779082224970054
home_run_diff_last30,0.02869897795738593
away_runs_scored_last10,0.027162982519941918
home_bullpen_fatigue_last3d,0.023462261389420598
away_bullpen_fatigue_last3d,0.020546492795819653
park_run_factor,0.017576562505993605
away_win_pct_last10,0.017305521074400667
home_win_pct_last10,0.016788904380958064
away_win_pct_last30,0.015459990646652016
home_runs_scored_last10,0.0151342805927394
away_starter_runs_allowed_last5,0.014519520440669667
home_starter_runs_allowed_last5,0.012859590804871094
home_run_diff_last10,0.011193143410698174
home_rest_days,0.00627753364438421
home_win_pct_last30,0.005303371419096872
away_runs_scored_last30,0.004744783361546675
away_rest_days,0.001331880125892427
