,mean_abs_shap
elo_home_win_prob,0.22643282
home_starter_runs_allowed_last5,0.04032515
home_elo_pre,0.03870239
away_starter_runs_allowed_last5,0.034282904
away_run_diff_last30,0.033916153
run_diff_diff_last30,0.030775592
home_win_pct_last30,0.028735368
away_run_diff_last10,0.02572732
home_run_diff_last30,0.024422562
park_run_factor,0.02414378
home_runs_scored_last30,0.02367381
away_runs_scored_last30,0.022758227
home_bullpen_fatigue_last3d,0.022490932
away_elo_pre,0.02228926
away_win_pct_last30,0.019333407
home_runs_scored_last10,0.018436704
away_runs_scored_last10,0.017321583
home_win_pct_last10,0.01611798
win_pct_diff_last30,0.015138168
run_diff_diff_last10,0.013220901
home_run_diff_last10,0.012812307
win_pct_diff_last10,0.012359105
away_win_pct_last10,0.00812609
away_bullpen_fatigue_last3d,0.006694716
home_rest_days,0.0058891396
away_rest_days,0.0022987197
elo_diff,0.001048003
